               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.056925,             0.14234,           0.0030074,             0.85096,              0.7537,             0.80554,             0.37604,            0.051547,             0.11972,           0.0058908,           0.0094434,           0.0094434,           0.0094434
                  50,            0.056052,             0.13872,           0.0031332,             0.88191,             0.74767,             0.81458,             0.39397,            0.050987,             0.11977,           0.0051066,           0.0094205,           0.0094205,           0.0094205
                  51,            0.055621,             0.13979,           0.0037941,             0.85764,             0.78396,             0.82703,             0.38839,            0.050042,             0.11561,            0.005266,           0.0093971,           0.0093971,           0.0093971
                  52,            0.056106,             0.13149,           0.0034457,             0.83915,              0.7337,             0.79183,             0.37648,            0.051685,             0.11823,           0.0053042,           0.0093733,           0.0093733,           0.0093733
                  53,             0.05427,             0.12521,           0.0031904,             0.87168,             0.75358,             0.80649,             0.39654,            0.050815,             0.11509,             0.00519,           0.0093491,           0.0093491,           0.0093491
                  54,            0.055542,             0.13104,           0.0031061,             0.83946,             0.75563,             0.80044,             0.38506,            0.050765,             0.11747,           0.0057963,           0.0093245,           0.0093245,           0.0093245
                  55,            0.055463,              0.1324,           0.0029104,             0.82922,              0.7319,             0.78455,             0.36869,            0.051591,             0.11632,           0.0051972,           0.0092995,           0.0092995,           0.0092995
                  56,            0.055493,              0.1316,           0.0031109,             0.87053,             0.72255,             0.79507,              0.3588,            0.052889,             0.12145,           0.0052093,            0.009274,            0.009274,            0.009274
                  57,            0.058414,             0.13942,           0.0027495,             0.87121,             0.75493,             0.81931,              0.3877,            0.050418,             0.11772,           0.0058199,           0.0092481,           0.0092481,           0.0092481
                  58,            0.055744,             0.12773,           0.0031363,             0.89747,             0.75026,              0.8263,             0.38555,            0.050345,             0.11391,           0.0045852,           0.0092219,           0.0092219,           0.0092219
                  59,            0.054567,             0.13191,           0.0030501,             0.79489,              0.7876,             0.81412,             0.38506,            0.051513,             0.11538,           0.0048295,           0.0091952,           0.0091952,           0.0091952
                  60,            0.054953,             0.13177,           0.0028386,             0.81568,             0.71653,             0.76897,             0.35526,            0.053025,              0.1272,           0.0070805,           0.0091681,           0.0091681,           0.0091681
                  61,            0.056808,             0.13438,           0.0032476,             0.84607,             0.75112,             0.80449,             0.38569,            0.051105,             0.11738,           0.0049514,           0.0091406,           0.0091406,           0.0091406
                  62,            0.053867,             0.12902,           0.0031262,              0.8254,              0.7326,             0.78463,             0.37514,            0.051277,             0.11412,           0.0054335,           0.0091127,           0.0091127,           0.0091127
                  63,            0.056302,             0.13259,           0.0027006,             0.84738,             0.71374,             0.77323,             0.36661,            0.051418,             0.11853,           0.0049844,           0.0090844,           0.0090844,           0.0090844
                  64,            0.056099,             0.13348,           0.0029841,             0.87217,             0.77338,             0.81133,             0.38955,            0.050334,             0.11752,           0.0054792,           0.0090557,           0.0090557,           0.0090557
                  65,            0.055564,             0.14081,           0.0028279,             0.83426,             0.77904,             0.81253,             0.39052,             0.05041,             0.11733,           0.0051538,           0.0090266,           0.0090266,           0.0090266
                  66,            0.054729,              0.1392,           0.0026106,             0.85502,             0.75563,             0.81449,             0.39704,            0.051206,             0.11493,           0.0044302,           0.0089972,           0.0089972,           0.0089972
                  67,            0.054961,              0.1276,           0.0025513,             0.86002,             0.75086,             0.80974,             0.38083,            0.050306,             0.11873,           0.0042913,           0.0089673,           0.0089673,           0.0089673
                  68,            0.055273,             0.14096,            0.002767,             0.87456,             0.71284,              0.7846,             0.36323,            0.053821,             0.12214,           0.0050737,           0.0089371,           0.0089371,           0.0089371
                  69,            0.054922,              0.1242,           0.0027062,             0.88079,             0.73518,             0.82065,             0.38173,            0.050552,             0.11612,           0.0045471,           0.0089065,           0.0089065,           0.0089065
                  70,            0.053151,             0.12854,           0.0025932,             0.85745,             0.79963,             0.84115,             0.40669,            0.049843,             0.11454,           0.0047671,           0.0088755,           0.0088755,           0.0088755
                  71,            0.052817,             0.12056,           0.0025978,             0.87282,             0.76649,             0.84325,             0.42119,            0.049841,             0.11735,           0.0055099,           0.0088442,           0.0088442,           0.0088442
                  72,            0.054321,              0.1318,           0.0022801,              0.8674,             0.74925,             0.81888,             0.39669,            0.050307,             0.11725,           0.0045634,           0.0088124,           0.0088124,           0.0088124
                  73,            0.056263,             0.13493,            0.002624,             0.86618,             0.77849,             0.83016,             0.39584,            0.050466,             0.11165,            0.004053,           0.0087804,           0.0087804,           0.0087804
                  74,            0.053904,             0.12753,           0.0024379,             0.85514,             0.74599,             0.81439,             0.38222,            0.051987,             0.11759,           0.0053124,           0.0087479,           0.0087479,           0.0087479
                  75,            0.054099,              0.1307,           0.0025332,             0.89632,             0.73183,             0.81208,             0.39654,            0.050571,             0.11456,           0.0051075,           0.0087151,           0.0087151,           0.0087151
                  76,            0.053952,             0.12754,           0.0023629,             0.82679,             0.79164,             0.82663,             0.40362,            0.050361,              0.1184,           0.0060864,            0.008682,            0.008682,            0.008682
                  77,            0.053479,             0.12022,           0.0027564,             0.90132,             0.73888,              0.8195,             0.39384,            0.049768,             0.11504,           0.0051506,           0.0086485,           0.0086485,           0.0086485
