               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.055836,             0.12459,           0.0028647,             0.85207,             0.78896,             0.85039,             0.40645,            0.051615,             0.10886,           0.0037015,           0.0082581,           0.0082581,           0.0082581
                  89,            0.055323,              0.1245,           0.0029117,             0.83458,             0.78472,             0.83483,             0.40394,            0.050663,             0.10711,            0.004943,           0.0082207,           0.0082207,           0.0082207
                  90,            0.053806,             0.12096,           0.0027287,             0.84028,             0.76894,             0.82725,             0.40032,            0.051159,             0.10968,           0.0044178,            0.008183,            0.008183,            0.008183
                  91,            0.054889,             0.12164,           0.0028762,             0.88087,             0.77375,             0.84192,              0.4237,            0.050134,             0.10744,            0.004345,            0.008145,            0.008145,            0.008145
                  92,            0.054728,             0.12674,           0.0028152,             0.82218,             0.79223,             0.81805,               0.399,            0.051936,             0.10754,           0.0043739,           0.0081068,           0.0081068,           0.0081068
                  93,            0.056733,             0.13358,           0.0027297,             0.85498,             0.78136,             0.84727,             0.40072,            0.050136,             0.10614,           0.0037439,           0.0080682,           0.0080682,           0.0080682
                  94,            0.053387,             0.12056,           0.0028043,             0.88096,             0.76394,             0.83277,             0.38657,            0.051663,              0.1071,           0.0036026,           0.0080294,           0.0080294,           0.0080294
                  95,            0.055965,             0.12382,           0.0027976,             0.88705,             0.75754,             0.84844,             0.42152,            0.050052,             0.10751,           0.0036299,           0.0079903,           0.0079903,           0.0079903
                  96,            0.054813,             0.12385,           0.0023738,             0.86369,             0.79049,             0.84784,             0.40551,            0.050059,             0.10813,           0.0037693,           0.0079509,           0.0079509,           0.0079509
                  97,            0.056138,              0.1236,           0.0027989,             0.85231,             0.78675,             0.83584,             0.39342,            0.051575,              0.1087,           0.0037496,           0.0079112,           0.0079112,           0.0079112
                  98,            0.056199,             0.12605,           0.0023261,             0.83302,             0.76275,             0.82381,             0.38447,            0.052263,             0.10672,           0.0037097,           0.0078713,           0.0078713,           0.0078713
                  99,            0.054125,             0.12661,           0.0027032,             0.90407,             0.79036,             0.85793,              0.4264,            0.048888,               0.105,           0.0035359,           0.0078311,           0.0078311,           0.0078311
                 100,            0.054713,             0.12391,           0.0027135,             0.87491,             0.77625,             0.83525,             0.41176,            0.049765,             0.10768,           0.0037214,           0.0077907,           0.0077907,           0.0077907
                 101,            0.057232,             0.13274,           0.0025811,             0.86785,             0.79588,             0.85538,             0.40962,            0.050651,             0.10743,           0.0036866,             0.00775,             0.00775,             0.00775
                 102,            0.054662,             0.12675,           0.0026911,             0.84233,             0.81667,             0.85108,             0.42513,            0.049697,             0.11039,           0.0038415,           0.0077091,           0.0077091,           0.0077091
                 103,            0.055212,             0.12615,           0.0024301,             0.85583,             0.78213,             0.84308,             0.41185,              0.0505,             0.10865,           0.0036287,           0.0076679,           0.0076679,           0.0076679
                 104,            0.055765,             0.12522,           0.0024825,             0.87358,             0.77096,             0.83507,             0.39628,            0.050474,             0.10671,           0.0032024,           0.0076265,           0.0076265,           0.0076265
                 105,            0.054632,              0.1252,           0.0023536,             0.85297,             0.77923,             0.82059,             0.39125,            0.051037,             0.10927,           0.0032078,           0.0075848,           0.0075848,           0.0075848
                 106,            0.054195,             0.12669,           0.0024354,             0.85449,             0.76368,             0.81189,             0.39971,            0.050772,             0.10933,             0.00373,            0.007543,            0.007543,            0.007543
                 107,            0.055319,             0.11947,           0.0025289,             0.86804,             0.81672,             0.85757,             0.41761,             0.04968,             0.10839,           0.0037653,           0.0075009,           0.0075009,           0.0075009
                 108,            0.056051,             0.13035,           0.0027355,              0.8846,              0.8074,             0.85466,             0.43109,            0.049112,             0.10804,           0.0039268,           0.0074585,           0.0074585,           0.0074585
                 109,            0.054872,              0.1183,           0.0024412,             0.88556,             0.79712,             0.85148,             0.41093,            0.050592,             0.10961,           0.0035941,            0.007416,            0.007416,            0.007416
                 110,            0.055586,             0.12834,           0.0026365,             0.89694,             0.80907,             0.86372,              0.4211,            0.049812,             0.10765,           0.0037137,           0.0073733,           0.0073733,           0.0073733
                 111,            0.053597,             0.12133,           0.0026072,              0.8651,             0.77303,             0.83232,             0.39284,            0.050676,             0.10678,           0.0038845,           0.0073303,           0.0073303,           0.0073303
                 112,            0.053523,             0.12483,           0.0025467,             0.90054,             0.76897,             0.84689,             0.42525,            0.048917,             0.10556,             0.00372,           0.0072872,           0.0072872,           0.0072872
                 113,            0.055083,             0.12553,           0.0023798,             0.86153,             0.81775,             0.86075,             0.42922,             0.04899,             0.10744,           0.0036514,           0.0072438,           0.0072438,           0.0072438
                 114,            0.054271,             0.12389,           0.0026837,             0.86084,             0.80057,              0.8509,             0.43594,             0.04857,             0.10803,           0.0042713,           0.0072003,           0.0072003,           0.0072003
                 115,            0.054567,             0.12118,           0.0025066,             0.87135,               0.762,             0.83085,             0.38497,             0.05304,             0.10986,           0.0039471,           0.0071566,           0.0071566,           0.0071566
                 116,            0.051045,             0.11446,            0.002357,             0.89002,             0.79249,             0.86793,             0.43112,            0.049615,             0.10504,           0.0031289,           0.0071127,           0.0071127,           0.0071127
                 117,            0.052056,             0.11785,           0.0022243,             0.84814,             0.81111,             0.85123,             0.41807,            0.049155,              0.1093,           0.0035458,           0.0070686,           0.0070686,           0.0070686
                 118,            0.055134,             0.12732,            0.002568,             0.93448,             0.79954,             0.87488,             0.42654,            0.049354,              0.1065,           0.0037279,           0.0070243,           0.0070243,           0.0070243
                 119,            0.053879,              0.1245,           0.0023003,             0.86149,             0.79042,             0.84668,             0.41632,            0.048844,             0.10799,           0.0033983,           0.0069799,           0.0069799,           0.0069799
                 120,            0.052763,             0.11903,           0.0024617,             0.87915,             0.80625,             0.85596,             0.43016,            0.049742,             0.10713,           0.0032859,           0.0069353,           0.0069353,           0.0069353
